START_ID,END_ID,TYPE
1,1,EDGE
2,3,EDGE
2,4,EDGE
2,5,EDGE
2,6,EDGE
2,7,EDGE
2,8,EDGE
2,9,EDGE
2,10,EDGE
2,11,EDGE
12,13,EDGE
12,14,EDGE
12,12,EDGE
12,15,EDGE
12,16,EDGE
12,17,EDGE
12,18,EDGE
12,19,EDGE
12,20,EDGE
12,21,EDGE
12,22,EDGE
12,23,EDGE
12,24,EDGE
12,25,EDGE
12,26,EDGE
12,27,EDGE
12,28,EDGE
12,29,EDGE
12,30,EDGE
12,31,EDGE
12,32,EDGE
12,33,EDGE
12,34,EDGE
12,35,EDGE
12,36,EDGE
12,37,EDGE
12,38,EDGE
12,39,EDGE
12,40,EDGE
12,41,EDGE
12,42,EDGE
12,43,EDGE
12,44,EDGE
12,45,EDGE
12,46,EDGE
12,47,EDGE
12,48,EDGE
12,49,EDGE
12,50,EDGE
12,51,EDGE
12,52,EDGE
12,53,EDGE
12,54,EDGE
12,55,EDGE
12,56,EDGE
12,57,EDGE
12,58,EDGE
12,59,EDGE
12,60,EDGE
12,61,EDGE
12,62,EDGE
12,63,EDGE
12,64,EDGE
12,65,EDGE
12,66,EDGE
12,67,EDGE
12,68,EDGE
12,69,EDGE
12,70,EDGE
12,71,EDGE
12,72,EDGE
12,73,EDGE
12,74,EDGE
12,75,EDGE
12,76,EDGE
12,77,EDGE
12,78,EDGE
12,79,EDGE
12,80,EDGE
12,81,EDGE
12,82,EDGE
12,83,EDGE
12,84,EDGE
12,85,EDGE
12,86,EDGE
12,87,EDGE
12,88,EDGE
12,89,EDGE
12,90,EDGE
12,91,EDGE
12,92,EDGE
12,93,EDGE
12,94,EDGE
12,95,EDGE
12,96,EDGE
12,97,EDGE
12,98,EDGE
12,99,EDGE
12,100,EDGE
12,101,EDGE
12,102,EDGE
12,103,EDGE
12,104,EDGE
12,105,EDGE
12,106,EDGE
12,107,EDGE
12,108,EDGE
12,109,EDGE
12,110,EDGE
12,111,EDGE
12,112,EDGE
12,113,EDGE
12,114,EDGE
12,115,EDGE
12,116,EDGE
12,117,EDGE
12,118,EDGE
12,119,EDGE
12,120,EDGE
12,121,EDGE
12,122,EDGE
12,123,EDGE
12,124,EDGE
12,125,EDGE
12,126,EDGE
12,127,EDGE
12,128,EDGE
129,130,EDGE
131,132,EDGE
131,133,EDGE
134,135,EDGE
134,136,EDGE
134,19,EDGE
134,137,EDGE
134,138,EDGE
134,139,EDGE
134,140,EDGE
134,141,EDGE
134,142,EDGE
134,143,EDGE
134,144,EDGE
134,145,EDGE
134,146,EDGE
134,147,EDGE
134,148,EDGE
134,149,EDGE
134,150,EDGE
134,151,EDGE
134,152,EDGE
134,153,EDGE
134,154,EDGE
134,155,EDGE
134,156,EDGE
134,157,EDGE
134,158,EDGE
134,159,EDGE
134,160,EDGE
134,161,EDGE
134,162,EDGE
134,163,EDGE
134,164,EDGE
134,165,EDGE
134,166,EDGE
134,167,EDGE
134,168,EDGE
134,169,EDGE
134,170,EDGE
134,171,EDGE
134,172,EDGE
134,79,EDGE
134,173,EDGE
134,174,EDGE
134,175,EDGE
134,176,EDGE
134,177,EDGE
134,178,EDGE
134,179,EDGE
134,180,EDGE
134,181,EDGE
134,182,EDGE
134,183,EDGE
134,184,EDGE
134,185,EDGE
134,107,EDGE
134,186,EDGE
134,187,EDGE
134,188,EDGE
134,189,EDGE
134,190,EDGE
134,191,EDGE
134,192,EDGE
134,193,EDGE
134,122,EDGE
134,194,EDGE
134,195,EDGE
134,196,EDGE
134,197,EDGE
134,198,EDGE
134,199,EDGE
134,200,EDGE
201,202,EDGE
201,203,EDGE
201,204,EDGE
201,205,EDGE
201,206,EDGE
201,207,EDGE
201,208,EDGE
201,209,EDGE
201,210,EDGE
201,211,EDGE
201,212,EDGE
201,213,EDGE
201,214,EDGE
201,215,EDGE
201,216,EDGE
201,217,EDGE
201,218,EDGE
201,219,EDGE
201,220,EDGE
201,221,EDGE
201,222,EDGE
201,223,EDGE
201,224,EDGE
201,225,EDGE
201,226,EDGE
201,227,EDGE
201,228,EDGE
201,229,EDGE
201,230,EDGE
201,231,EDGE
201,232,EDGE
201,233,EDGE
201,234,EDGE
201,235,EDGE
201,236,EDGE
201,237,EDGE
201,238,EDGE
201,239,EDGE
201,240,EDGE
201,241,EDGE
201,242,EDGE
201,243,EDGE
201,244,EDGE
201,245,EDGE
201,246,EDGE
201,247,EDGE
201,248,EDGE
201,65,EDGE
201,249,EDGE
201,250,EDGE
201,251,EDGE
201,252,EDGE
201,253,EDGE
201,254,EDGE
201,255,EDGE
201,256,EDGE
201,257,EDGE
201,258,EDGE
201,259,EDGE
201,260,EDGE
201,261,EDGE
201,262,EDGE
201,263,EDGE
201,264,EDGE
201,265,EDGE
201,266,EDGE
201,267,EDGE
201,268,EDGE
201,269,EDGE
201,270,EDGE
201,271,EDGE
201,272,EDGE
201,273,EDGE
201,274,EDGE
201,275,EDGE
201,276,EDGE
201,277,EDGE
